grid_name,experiment_name,collection_temperature,scan_range,detector_distance,indexation,diff_limit,r_int,collection_program,processing_program,frames_collected,frame_conversion_program,diff_img_tiff_filename,grain_img_tiff_filename,frames_tiff_filenames,3D EM quality
grid_000018,exp_293,295.0,123.0,652.0,23.22,1.49,0.4133,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000018_exp_293\exp_293_middle_microed_diff_snapshot.tiff,,./grid_000018_exp_293\exp_293_1_*.tiff,bad
grid_000019,exp_294,295.0,129.0,767.0,64.84,0.99,0.1413,Unknown,CrysAlisPro(RED) 43.100a 64-bit,20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000019_exp_294\exp_294_middle_microed_diff_snapshot.tiff,,./grid_000019_exp_294\exp_294_1_*.tiff,complex
grid_000020,exp_295,295.0,129.0,767.0,12.95,0.94,0.1628,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000020_exp_295\exp_295_middle_microed_diff_snapshot.tiff,,./grid_000020_exp_295\exp_295_1_*.tiff,bad
grid_000024,exp_307,295.0,120.0,650.0,0.0,,,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000024_exp_307\exp_307_middle_microed_diff_snapshot.tiff,,./grid_000024_exp_307\exp_307_1_*.tiff,bad
grid_000025,exp_308,295.0,130.0,650.0,35.29,1.8,0.5603,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000025_exp_308\exp_308_middle_microed_diff_snapshot.tiff,,./grid_000025_exp_308\exp_308_1_*.tiff,bad
grid_000026,exp_309,295.0,130.0,650.0,81.9,1.76,0.635,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000026_exp_309\exp_309_middle_microed_diff_snapshot.tiff,,./grid_000026_exp_309\exp_309_1_*.tiff,complex
grid_000027,exp_310,295.0,125.0,650.0,10.43,,,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000027_exp_310\exp_310_middle_microed_diff_snapshot.tiff,,./grid_000027_exp_310\exp_310_1_*.tiff,bad
grid_000028,exp_311,295.0,125.0,650.0,33.33,,,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000028_exp_311\exp_311_middle_microed_diff_snapshot.tiff,,./grid_000028_exp_311\exp_311_1_*.tiff,bad
grid_000029,exp_312,295.0,115.0,650.0,41.15,1.76,0.6105,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000029_exp_312\exp_312_middle_microed_diff_snapshot.tiff,,./grid_000029_exp_312\exp_312_1_*.tiff,bad
grid_000030,exp_313,295.0,135.0,650.0,56.1,,,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000030_exp_313\exp_313_middle_microed_diff_snapshot.tiff,,./grid_000030_exp_313\exp_313_1_*.tiff,complex
grid_000031,exp_314,295.0,130.0,650.0,93.04,1.71,0.4844,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000031_exp_314\exp_314_middle_microed_diff_snapshot.tiff,,./grid_000031_exp_314\exp_314_1_*.tiff,complex
grid_000032,exp_315,295.0,135.0,650.0,33.55,,,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000032_exp_315\exp_315_middle_microed_diff_snapshot.tiff,,./grid_000032_exp_315\exp_315_1_*.tiff,bad
grid_000033,exp_316,295.0,125.0,650.0,99.36,1.3,0.1987,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000033_exp_316\exp_316_middle_microed_diff_snapshot.tiff,,./grid_000033_exp_316\exp_316_1_*.tiff,complex
grid_000034,exp_317,295.0,115.0,650.0,32.64,,,Unknown,CrysAlisPro(RED) 43.100a 64-bit,20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000034_exp_317\exp_317_middle_microed_diff_snapshot.tiff,,./grid_000034_exp_317\exp_317_1_*.tiff,bad
grid_000035,exp_318,295.0,115.0,650.0,65.7,0.8,0.1669,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000035_exp_318\exp_318_middle_microed_diff_snapshot.tiff,,./grid_000035_exp_318\exp_318_1_*.tiff,complex
grid_000036,exp_299,295.0,122.0,650.0,95.76,1.45,0.2973,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000036_exp_299\exp_299_middle_microed_diff_snapshot.tiff,,./grid_000036_exp_299\exp_299_1_*.tiff,complex
grid_000037,exp_300,295.0,87.0,650.0,93.01,1.39,0.2947,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000037_exp_300\exp_300_middle_microed_diff_snapshot.tiff,,./grid_000037_exp_300\exp_300_1_*.tiff,complex
grid_000038,exp_301,295.0,115.0,650.0,0.0,,,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000038_exp_301\exp_301_middle_microed_diff_snapshot.tiff,,./grid_000038_exp_301\exp_301_1_*.tiff,bad
grid_000039,exp_302,295.0,122.0,650.0,83.18,1.74,0.6696,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000039_exp_302\exp_302_middle_microed_diff_snapshot.tiff,,./grid_000039_exp_302\exp_302_1_*.tiff,complex
grid_000040,exp_303,295.0,123.0,650.0,92.94,1.13,0.1444,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000040_exp_303\exp_303_middle_microed_diff_snapshot.tiff,,./grid_000040_exp_303\exp_303_1_*.tiff,complex
grid_000041,exp_304,295.0,93.0,650.0,98.5,1.31,0.2758,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000041_exp_304\exp_304_middle_microed_diff_snapshot.tiff,,./grid_000041_exp_304\exp_304_1_*.tiff,complex
grid_000042,exp_305,295.0,122.0,650.0,97.94,1.53,0.3582,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000042_exp_305\exp_305_middle_microed_diff_snapshot.tiff,,./grid_000042_exp_305\exp_305_1_*.tiff,complex
grid_000043,exp_306,295.0,124.0,650.0,0.0,,,CrysAlisPro(CCD) 43.100a 64-bit (release 06-12-2023),CrysAlisPro(RED) 43.100a 64-bit (release 06-12-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000043_exp_306\exp_306_middle_microed_diff_snapshot.tiff,,./grid_000043_exp_306\exp_306_1_*.tiff,bad
grid_000044,exp_252,295.0,140.0,652.0,100.0,1.78,0.293,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000044_exp_252\exp_252_middle_microed_diff_snapshot.tiff,,./grid_000044_exp_252\exp_252_1_*.tiff,complex
grid_000045,exp_253,295.0,115.0,652.0,9.4,1.76,0.7801,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000045_exp_253\exp_253_middle_microed_diff_snapshot.tiff,,./grid_000045_exp_253\exp_253_1_*.tiff,bad
grid_000046,exp_254,295.0,110.0,652.0,0.0,1.45,0.3279,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000046_exp_254\exp_254_middle_microed_diff_snapshot.tiff,,./grid_000046_exp_254\exp_254_1_*.tiff,bad
grid_000047,exp_255,295.0,85.0,652.0,11.96,1.5,0.5083,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000047_exp_255\exp_255_middle_microed_diff_snapshot.tiff,,./grid_000047_exp_255\exp_255_1_*.tiff,bad
grid_000048,exp_256,295.0,130.0,652.0,58.82,1.23,0.3371,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000048_exp_256\exp_256_middle_microed_diff_snapshot.tiff,,./grid_000048_exp_256\exp_256_1_*.tiff,complex
grid_000049,exp_257,295.0,150.0,652.0,9.78,2.34,0.3949,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000049_exp_257\exp_257_middle_microed_diff_snapshot.tiff,,./grid_000049_exp_257\exp_257_1_*.tiff,bad
grid_000050,exp_258,295.0,135.0,652.0,0.0,1.73,0.6442,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000050_exp_258\exp_258_middle_microed_diff_snapshot.tiff,,./grid_000050_exp_258\exp_258_1_*.tiff,bad
grid_000051,exp_259,295.0,125.0,652.0,41.55,1.4,0.4065,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000051_exp_259\exp_259_middle_microed_diff_snapshot.tiff,,./grid_000051_exp_259\exp_259_1_*.tiff,bad
grid_000052,exp_260,295.0,91.0,652.0,38.11,0.91,0.1304,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000052_exp_260\exp_260_middle_microed_diff_snapshot.tiff,,./grid_000052_exp_260\exp_260_1_*.tiff,bad
grid_000053,exp_261,295.0,125.0,652.0,9.7,1.07,0.1226,CrysAlisPro(CCD) 43.97a 64-bit (release 21-11-2023),CrysAlisPro(RED) 43.97a 64-bit (release 21-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000053_exp_261\exp_261_middle_microed_diff_snapshot.tiff,,./grid_000053_exp_261\exp_261_1_*.tiff,bad
grid_000056,exp_60,295.0,108.0,647.0,30.48,1.43,0.3306,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000056_exp_60\exp_60_middle_microed_diff_snapshot.tiff,,./grid_000056_exp_60\exp_60_1_*.tiff,bad
grid_000057,exp_61,295.0,106.0,647.0,93.85,1.51,0.2863,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000057_exp_61\exp_61_middle_microed_diff_snapshot.tiff,,./grid_000057_exp_61\exp_61_1_*.tiff,complex
grid_000058,exp_62,295.0,101.0,647.0,96.72,1.38,0.2444,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000058_exp_62\exp_62_middle_microed_diff_snapshot.tiff,,./grid_000058_exp_62\exp_62_1_*.tiff,complex
grid_000059,exp_63,295.0,100.0,652.0,43.32,1.01,0.1426,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000059_exp_63\exp_63_middle_microed_diff_snapshot.tiff,,./grid_000059_exp_63\exp_63_1_*.tiff,bad
grid_000060,exp_64,295.0,85.0,652.0,99.15,1.27,0.1959,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000060_exp_64\exp_64_middle_microed_diff_snapshot.tiff,,./grid_000060_exp_64\exp_64_1_*.tiff,complex
grid_000061,exp_65,295.0,110.0,652.0,59.2,0.84,0.0832,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000061_exp_65\exp_65_middle_microed_diff_snapshot.tiff,,./grid_000061_exp_65\exp_65_1_*.tiff,complex
grid_000062,exp_66,295.0,110.0,652.0,0.0,1.31,0.1986,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000062_exp_66\exp_66_middle_microed_diff_snapshot.tiff,,./grid_000062_exp_66\exp_66_1_*.tiff,bad
grid_000063,exp_67,295.0,107.0,652.0,0.0,1.05,0.1863,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000063_exp_67\exp_67_middle_microed_diff_snapshot.tiff,,./grid_000063_exp_67\exp_67_1_*.tiff,bad
grid_000064,exp_68,295.0,85.0,652.0,62.17,0.86,0.0703,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000064_exp_68\exp_68_middle_microed_diff_snapshot.tiff,,./grid_000064_exp_68\exp_68_1_*.tiff,complex
grid_000065,exp_69,295.0,108.0,652.0,0.0,1.75,0.6369,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000065_exp_69\exp_69_middle_microed_diff_snapshot.tiff,,./grid_000065_exp_69\exp_69_1_*.tiff,bad
grid_000066,exp_70,295.0,100.0,652.0,78.76,0.84,0.1034,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000066_exp_70\exp_70_middle_microed_diff_snapshot.tiff,,./grid_000066_exp_70\exp_70_1_*.tiff,complex
grid_000067,exp_71,295.0,100.0,652.0,93.81,1.25,0.2799,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000067_exp_71\exp_71_middle_microed_diff_snapshot.tiff,,./grid_000067_exp_71\exp_71_1_*.tiff,complex
grid_000068,exp_72,295.0,100.0,652.0,99.3,1.04,0.0721,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000068_exp_72\exp_72_middle_microed_diff_snapshot.tiff,,./grid_000068_exp_72\exp_72_1_*.tiff,complex
grid_000077,exp_85,295.0,73.0,652.0,93.92,1.03,0.1895,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000077_exp_85\exp_85_middle_microed_diff_snapshot.tiff,,./grid_000077_exp_85\exp_85_1_*.tiff,complex
grid_000078,exp_86,295.0,104.0,652.0,98.72,1.1,0.191,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000078_exp_86\exp_86_middle_microed_diff_snapshot.tiff,,./grid_000078_exp_86\exp_86_1_*.tiff,complex
grid_000079,exp_87,295.0,107.0,652.0,96.09,1.54,0.3753,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000079_exp_87\exp_87_middle_microed_diff_snapshot.tiff,,./grid_000079_exp_87\exp_87_1_*.tiff,complex
grid_000080,exp_88,295.0,108.0,652.0,93.8,1.49,0.3011,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000080_exp_88\exp_88_middle_microed_diff_snapshot.tiff,,./grid_000080_exp_88\exp_88_1_*.tiff,complex
grid_000081,exp_89,295.0,105.0,652.0,81.54,1.61,0.4351,CrysAlisPro(CCD) 43.95a 64-bit (release 03-11-2023),CrysAlisPro(RED) 43.95a 64-bit (release 03-11-2023),20,"CrysAlis system (44.142a 64-bit (release 06-02-2026))(compiled Feb  6 2026,17:44:32)",./grid_000081_exp_89\exp_89_middle_microed_diff_snapshot.tiff,,./grid_000081_exp_89\exp_89_1_*.tiff,complex
