Filename,ML Task Target,Excluded (True/False),Split (train/test/validation)
578962-mythen_summed.xye,good,False,
578963-mythen_summed.xye,good,False,
578964-mythen_summed.xye,good,False,
579131-mythen_summed.xye,good,False,
579132-mythen_summed.xye,good,False,
579133-mythen_summed.xye,bad,False,
579134-mythen_summed.xye,good,False,
579135-mythen_summed.xye,bad,False,
579136-mythen_summed.xye,bad,False,
579137-mythen_summed.xye,bad,False,
579138-mythen_summed.xye,bad,False,
579139-mythen_summed.xye,bad,False,
578651-mythen_summed.xye,bad,False,
578652-mythen_summed.xye,good,False,
578653-mythen_summed.xye,good,False,
578654-mythen_summed.xye,good,False,
578655-mythen_summed.xye,good,False,
578656-mythen_summed.xye,good,False,
578657-mythen_summed.xye,good,False,
578658-mythen_summed.xye,good,False,
578659-mythen_summed.xye,good,False,
578817-mythen_summed.xye,good,False,
578818-mythen_summed.xye,good,False,
578819-mythen_summed.xye,good,False,
578820-mythen_summed.xye,good,False,
578821-mythen_summed.xye,good,False,
578822-mythen_summed.xye,good,False,
579167-mythen_summed.xye,good,False,
579168-mythen_summed.xye,good,False,
579169-mythen_summed.xye,good,False,
579170-mythen_summed.xye,good,False,
579171-mythen_summed.xye,good,False,
579172-mythen_summed.xye,good,False,
579173-mythen_summed.xye,good,False,
579174-mythen_summed.xye,good,False,
579175-mythen_summed.xye,good,False,
578530-mythen_summed.xye,good,False,
578531-mythen_summed.xye,good,False,
578532-mythen_summed.xye,good,False,
578533-mythen_summed.xye,good,False,
578534-mythen_summed.xye,bad,False,
578535-mythen_summed.xye,good,False,
578536-mythen_summed.xye,good,False,
578537-mythen_summed.xye,good,False,
578701-mythen_summed.xye,good,False,
578703-mythen_summed.xye,bad,False,
578704-mythen_summed.xye,bad,False,
578705-mythen_summed.xye,bad,False,
578706-mythen_summed.xye,bad,False,
578707-mythen_summed.xye,bad,False,
578883-mythen_summed.xye,good,False,
578884-mythen_summed.xye,bad,False,
578885-mythen_summed.xye,good,False,
578886-mythen_summed.xye,good,False,
578887-mythen_summed.xye,good,False,
578888-mythen_summed.xye,good,False,
578889-mythen_summed.xye,good,False,
578890-mythen_summed.xye,good,False,
578891-mythen_summed.xye,good,False,
579093-mythen_summed.xye,bad,False,
579094-mythen_summed.xye,good,False,
579095-mythen_summed.xye,good,False,
579096-mythen_summed.xye,good,False,
579097-mythen_summed.xye,good,False,
579098-mythen_summed.xye,good,False,
579099-mythen_summed.xye,bad,False,
579100-mythen_summed.xye,good,False,
579101-mythen_summed.xye,good,False,
578566-mythen_summed.xye,good,False,
578928-mythen_summed.xye,good,False,
578929-mythen_summed.xye,good,False,
578432-mythen_summed.xye,good,False,
578433-mythen_summed.xye,good,False,
578434-mythen_summed.xye,good,False,
578435-mythen_summed.xye,bad,False,
578436-mythen_summed.xye,good,False,
578437-mythen_summed.xye,bad,False,
578438-mythen_summed.xye,good,False,
578439-mythen_summed.xye,good,False,
578440-mythen_summed.xye,good,False,
578613-mythen_summed.xye,good,False,
578614-mythen_summed.xye,good,False,
578615-mythen_summed.xye,good,False,
578616-mythen_summed.xye,good,False,
578617-mythen_summed.xye,good,False,
578618-mythen_summed.xye,good,False,
578619-mythen_summed.xye,good,False,
578620-mythen_summed.xye,good,False,
578777-mythen_summed.xye,good,False,
578778-mythen_summed.xye,good,False,
578779-mythen_summed.xye,good,False,
578780-mythen_summed.xye,good,False,
578781-mythen_summed.xye,good,False,
578782-mythen_summed.xye,good,False,
578783-mythen_summed.xye,bad,False,
578784-mythen_summed.xye,bad,False,
578785-mythen_summed.xye,good,False,
578977-mythen_summed.xye,good,False,
578978-mythen_summed.xye,good,False,
578979-mythen_summed.xye,good,False,
578980-mythen_summed.xye,bad,False,
578981-mythen_summed.xye,good,False,
578982-mythen_summed.xye,bad,False,
578984-mythen_summed.xye,bad,False,
579150-mythen_summed.xye,bad,False,
579151-mythen_summed.xye,good,False,
579152-mythen_summed.xye,good,False,
579153-mythen_summed.xye,good,False,
579154-mythen_summed.xye,good,False,
579155-mythen_summed.xye,good,False,
578676-mythen_summed.xye,good,False,
578677-mythen_summed.xye,good,False,
578678-mythen_summed.xye,good,False,
578679-mythen_summed.xye,good,False,
578680-mythen_summed.xye,good,False,
578681-mythen_summed.xye,good,False,
578682-mythen_summed.xye,good,False,
578683-mythen_summed.xye,good,False,
578843-mythen_summed.xye,good,False,
578844-mythen_summed.xye,good,False,
578845-mythen_summed.xye,good,False,
578846-mythen_summed.xye,good,False,
578847-mythen_summed.xye,good,False,
578848-mythen_summed.xye,good,False,
578849-mythen_summed.xye,good,False,
578850-mythen_summed.xye,good,False,
578851-mythen_summed.xye,good,False,
579058-mythen_summed.xye,good,False,
579059-mythen_summed.xye,good,False,
579060-mythen_summed.xye,good,False,
579061-mythen_summed.xye,good,False,
579062-mythen_summed.xye,good,False,
579063-mythen_summed.xye,good,False,
579064-mythen_summed.xye,good,False,
579065-mythen_summed.xye,good,False,
579066-mythen_summed.xye,good,False,
578492-mythen_summed.xye,good,False,
578493-mythen_summed.xye,good,False,
578494-mythen_summed.xye,good,False,
578495-mythen_summed.xye,good,False,
578496-mythen_summed.xye,bad,False,
578498-mythen_summed.xye,good,False,
578499-mythen_summed.xye,good,False,
578500-mythen_summed.xye,good,False,
578684-mythen_summed.xye,bad,False,
578685-mythen_summed.xye,bad,False,
578686-mythen_summed.xye,bad,False,
578687-mythen_summed.xye,good,False,
578688-mythen_summed.xye,good,False,
578689-mythen_summed.xye,good,False,
578690-mythen_summed.xye,bad,False,
578853-mythen_summed.xye,good,False,
578854-mythen_summed.xye,good,False,
578855-mythen_summed.xye,good,False,
578857-mythen_summed.xye,good,False,
578858-mythen_summed.xye,good,False,
578859-mythen_summed.xye,good,False,
578860-mythen_summed.xye,good,False,
578861-mythen_summed.xye,good,False,
579068-mythen_summed.xye,good,False,
579069-mythen_summed.xye,good,False,
579070-mythen_summed.xye,good,False,
579071-mythen_summed.xye,good,False,
579072-mythen_summed.xye,good,False,
579073-mythen_summed.xye,good,False,
579074-mythen_summed.xye,good,False,
579075-mythen_summed.xye,good,False,
579076-mythen_summed.xye,good,False,
578442-mythen_summed.xye,good,False,
578443-mythen_summed.xye,good,False,
578444-mythen_summed.xye,good,False,
578445-mythen_summed.xye,good,False,
578446-mythen_summed.xye,good,False,
578447-mythen_summed.xye,good,False,
578448-mythen_summed.xye,good,False,
578449-mythen_summed.xye,bad,False,
578450-mythen_summed.xye,good,False,
578622-mythen_summed.xye,good,False,
578623-mythen_summed.xye,good,False,
578624-mythen_summed.xye,good,False,
578625-mythen_summed.xye,good,False,
578626-mythen_summed.xye,bad,False,
578627-mythen_summed.xye,bad,False,
578628-mythen_summed.xye,good,False,
578629-mythen_summed.xye,good,False,
578787-mythen_summed.xye,good,False,
578788-mythen_summed.xye,good,False,
578789-mythen_summed.xye,bad,False,
578790-mythen_summed.xye,good,False,
578791-mythen_summed.xye,bad,False,
578792-mythen_summed.xye,good,False,
578793-mythen_summed.xye,good,False,
578794-mythen_summed.xye,good,False,
578795-mythen_summed.xye,bad,False,
578987-mythen_summed.xye,good,False,
578988-mythen_summed.xye,good,False,
578989-mythen_summed.xye,good,False,
578990-mythen_summed.xye,good,False,
578991-mythen_summed.xye,good,False,
578992-mythen_summed.xye,good,False,
578993-mythen_summed.xye,good,False,
578994-mythen_summed.xye,good,False,
578995-mythen_summed.xye,good,False,
578559-mythen_summed.xye,good,False,
578560-mythen_summed.xye,good,False,
578561-mythen_summed.xye,good,False,
578562-mythen_summed.xye,good,False,
578913-mythen_summed.xye,good,False,
578914-mythen_summed.xye,good,False,
578915-mythen_summed.xye,good,False,
578916-mythen_summed.xye,good,False,
579117-mythen_summed.xye,good,False,
579118-mythen_summed.xye,good,False,
579119-mythen_summed.xye,good,False,
578502-mythen_summed.xye,good,False,
578503-mythen_summed.xye,good,False,
578504-mythen_summed.xye,good,False,
578505-mythen_summed.xye,good,False,
578506-mythen_summed.xye,good,False,
578507-mythen_summed.xye,good,False,
578508-mythen_summed.xye,good,False,
578509-mythen_summed.xye,good,False,
578510-mythen_summed.xye,good,False,
579078-mythen_summed.xye,good,False,
579079-mythen_summed.xye,good,False,
579080-mythen_summed.xye,good,False,
579081-mythen_summed.xye,good,False,
579082-mythen_summed.xye,good,False,
579083-mythen_summed.xye,good,False,
579084-mythen_summed.xye,good,False,
579085-mythen_summed.xye,good,False,
579086-mythen_summed.xye,good,False,
578512-mythen_summed.xye,good,False,
578513-mythen_summed.xye,good,False,
578514-mythen_summed.xye,good,False,
578515-mythen_summed.xye,good,False,
578516-mythen_summed.xye,good,False,
578517-mythen_summed.xye,good,False,
578518-mythen_summed.xye,good,False,
578519-mythen_summed.xye,good,False,
578863-mythen_summed.xye,bad,False,
578864-mythen_summed.xye,good,False,
578865-mythen_summed.xye,good,False,
578866-mythen_summed.xye,good,False,
578867-mythen_summed.xye,good,False,
578868-mythen_summed.xye,good,False,
578869-mythen_summed.xye,good,False,
578870-mythen_summed.xye,good,False,
579088-mythen_summed.xye,good,False,
579089-mythen_summed.xye,good,False,
579090-mythen_summed.xye,good,False,
579091-mythen_summed.xye,good,False,
579092-mythen_summed.xye,good,False,
578578-mythen_summed.xye,good,False,
578579-mythen_summed.xye,good,False,
578580-mythen_summed.xye,good,False,
578581-mythen_summed.xye,good,False,
578737-mythen_summed.xye,good,False,
578738-mythen_summed.xye,good,False,
578739-mythen_summed.xye,good,False,
578740-mythen_summed.xye,good,False,
578741-mythen_summed.xye,good,False,
578742-mythen_summed.xye,good,False,
578931-mythen_summed.xye,bad,False,
578932-mythen_summed.xye,good,False,
578933-mythen_summed.xye,good,False,
578934-mythen_summed.xye,good,False,
578935-mythen_summed.xye,good,False,
579129-mythen_summed.xye,good,False,
578540-mythen_summed.xye,good,False,
578542-mythen_summed.xye,bad,False,
578543-mythen_summed.xye,good,False,
578544-mythen_summed.xye,good,False,
578545-mythen_summed.xye,good,False,
578546-mythen_summed.xye,good,False,
578547-mythen_summed.xye,good,False,
578709-mythen_summed.xye,good,False,
578710-mythen_summed.xye,good,False,
578711-mythen_summed.xye,bad,False,
578712-mythen_summed.xye,good,False,
578713-mythen_summed.xye,good,False,
578714-mythen_summed.xye,good,False,
578715-mythen_summed.xye,bad,False,
578716-mythen_summed.xye,good,False,
578717-mythen_summed.xye,good,False,
578893-mythen_summed.xye,good,False,
578894-mythen_summed.xye,good,False,
578895-mythen_summed.xye,good,False,
578896-mythen_summed.xye,good,False,
578897-mythen_summed.xye,good,False,
578898-mythen_summed.xye,good,False,
578899-mythen_summed.xye,good,False,
578900-mythen_summed.xye,good,False,
578901-mythen_summed.xye,good,False,
579103-mythen_summed.xye,good,False,
579104-mythen_summed.xye,good,False,
579105-mythen_summed.xye,good,False,
579106-mythen_summed.xye,good,False,
578452-mythen_summed.xye,good,False,
578453-mythen_summed.xye,bad,False,
578454-mythen_summed.xye,good,False,
578455-mythen_summed.xye,good,False,
578456-mythen_summed.xye,good,False,
578457-mythen_summed.xye,good,False,
578458-mythen_summed.xye,good,False,
578459-mythen_summed.xye,good,False,
578460-mythen_summed.xye,good,False,
578631-mythen_summed.xye,bad,False,
578632-mythen_summed.xye,bad,False,
578634-mythen_summed.xye,bad,False,
578635-mythen_summed.xye,bad,False,
578636-mythen_summed.xye,bad,False,
578638-mythen_summed.xye,good,False,
578639-mythen_summed.xye,good,False,
578997-mythen_summed.xye,bad,False,
578998-mythen_summed.xye,good,False,
578999-mythen_summed.xye,good,False,
579000-mythen_summed.xye,good,False,
579001-mythen_summed.xye,good,False,
579002-mythen_summed.xye,good,False,
579003-mythen_summed.xye,good,False,
579157-mythen_summed.xye,good,False,
579158-mythen_summed.xye,good,False,
579159-mythen_summed.xye,good,False,
579160-mythen_summed.xye,good,False,
579161-mythen_summed.xye,good,False,
579162-mythen_summed.xye,good,False,
579163-mythen_summed.xye,good,False,
579165-mythen_summed.xye,good,False,
578563-mythen_summed.xye,bad,False,
578564-mythen_summed.xye,good,False,
578725-mythen_summed.xye,good,False,
578726-mythen_summed.xye,good,False,
578918-mythen_summed.xye,bad,False,
578919-mythen_summed.xye,good,False,
578920-mythen_summed.xye,good,False,
578921-mythen_summed.xye,good,False,
578922-mythen_summed.xye,good,False,
578923-mythen_summed.xye,good,False,
578924-mythen_summed.xye,good,False,
578925-mythen_summed.xye,good,False,
578926-mythen_summed.xye,good,False,
579122-mythen_summed.xye,good,False,
578462-mythen_summed.xye,good,False,
578463-mythen_summed.xye,good,False,
578465-mythen_summed.xye,good,False,
578466-mythen_summed.xye,bad,False,
578467-mythen_summed.xye,good,False,
578468-mythen_summed.xye,good,False,
578469-mythen_summed.xye,good,False,
578470-mythen_summed.xye,good,False,
578641-mythen_summed.xye,good,False,
578642-mythen_summed.xye,good,False,
578643-mythen_summed.xye,good,False,
578644-mythen_summed.xye,good,False,
578645-mythen_summed.xye,good,False,
578646-mythen_summed.xye,good,False,
578647-mythen_summed.xye,good,False,
578648-mythen_summed.xye,good,False,
578649-mythen_summed.xye,bad,False,
578797-mythen_summed.xye,good,False,
578798-mythen_summed.xye,good,False,
578799-mythen_summed.xye,good,False,
578800-mythen_summed.xye,good,False,
578801-mythen_summed.xye,good,False,
578802-mythen_summed.xye,good,False,
578803-mythen_summed.xye,good,False,
578804-mythen_summed.xye,good,False,
578805-mythen_summed.xye,good,False,
579007-mythen_summed.xye,good,False,
579008-mythen_summed.xye,good,False,
579009-mythen_summed.xye,good,False,
579010-mythen_summed.xye,good,False,
579011-mythen_summed.xye,good,False,
579017-mythen_summed.xye,bad,False,
579018-mythen_summed.xye,bad,False,
579019-mythen_summed.xye,good,False,
578520-mythen_summed.xye,good,False,
578521-mythen_summed.xye,good,False,
578522-mythen_summed.xye,good,False,
578523-mythen_summed.xye,good,False,
578524-mythen_summed.xye,good,False,
578525-mythen_summed.xye,good,False,
578526-mythen_summed.xye,good,False,
578527-mythen_summed.xye,good,False,
578528-mythen_summed.xye,good,False,
578691-mythen_summed.xye,good,False,
578692-mythen_summed.xye,good,False,
578693-mythen_summed.xye,good,False,
578694-mythen_summed.xye,good,False,
578695-mythen_summed.xye,good,False,
578696-mythen_summed.xye,good,False,
578697-mythen_summed.xye,good,False,
578698-mythen_summed.xye,good,False,
578699-mythen_summed.xye,good,False,
578873-mythen_summed.xye,good,False,
578874-mythen_summed.xye,good,False,
578875-mythen_summed.xye,good,False,
578876-mythen_summed.xye,good,False,
578877-mythen_summed.xye,good,False,
578878-mythen_summed.xye,good,False,
578879-mythen_summed.xye,good,False,
578880-mythen_summed.xye,good,False,
578881-mythen_summed.xye,good,False,
578482-mythen_summed.xye,good,False,
578483-mythen_summed.xye,good,False,
578484-mythen_summed.xye,good,False,
578485-mythen_summed.xye,bad,False,
578486-mythen_summed.xye,good,False,
578487-mythen_summed.xye,bad,False,
578488-mythen_summed.xye,good,False,
578489-mythen_summed.xye,good,False,
578490-mythen_summed.xye,good,False,
578666-mythen_summed.xye,good,False,
578667-mythen_summed.xye,good,False,
578668-mythen_summed.xye,bad,False,
578669-mythen_summed.xye,good,False,
578670-mythen_summed.xye,good,False,
578671-mythen_summed.xye,good,False,
578672-mythen_summed.xye,good,False,
578673-mythen_summed.xye,good,False,
578674-mythen_summed.xye,good,False,
578834-mythen_summed.xye,bad,False,
578835-mythen_summed.xye,good,False,
578836-mythen_summed.xye,good,False,
578837-mythen_summed.xye,good,False,
578838-mythen_summed.xye,good,False,
578839-mythen_summed.xye,good,False,
578840-mythen_summed.xye,good,False,
578841-mythen_summed.xye,good,False,
578842-mythen_summed.xye,bad,False,
579048-mythen_summed.xye,good,False,
579049-mythen_summed.xye,good,False,
579050-mythen_summed.xye,good,False,
579051-mythen_summed.xye,good,False,
579052-mythen_summed.xye,good,False,
579053-mythen_summed.xye,good,False,
579054-mythen_summed.xye,good,False,
579055-mythen_summed.xye,good,False,
579056-mythen_summed.xye,good,False,
